date,competition,winner,winner_abbreviation,winner_gender,winner_qualifier,winner_id,winner_control,winner_knockdowns,winner_significant_strike_percentage,winner_significant_strikes,winner_significant_strikes_attempted,winner_submission_attempts,winner_takedown_percentage,winner_takedowns,winner_takedowns_attempted,winner_total_strike_percentage,winner_total_strikes,winner_total_strikes_attempted,loser,loser_abbreviation,loser_gender,loser_qualifier,loser_id,loser_control,loser_knockdowns,loser_significant_strike_percentage,loser_significant_strikes,loser_significant_strikes_attempted,loser_submission_attempts,loser_takedown_percentage,loser_takedowns,loser_takedowns_attempted,loser_total_strike_percentage,loser_total_strikes,loser_total_strikes_attempted,final_round,final_round_length,method,scheduled_length,weight_class,strike_accuracy_diff ,total_strike_accuracy_diff  ,knockdowns_diff,takedown_accuracy_diff,takedowns_diff,submission_attempts_diff
2018-11-24,UFC Fight Night - Beijing,"Smolka, Louis",SMO,male,away,sr:competitor:269769,0:00,50,0.0,0,0,0,0.0,0,0,0.0,0,0,"Mudaerji, Su",MUD,male,home,sr:competitor:522114,0:00,0,0.0,0,0,0,0.0,0,0,0.0,0,0,2,2:07,submission,3,bantamweight(126-135),0.0,0.0,50,0.0,0,0
2018-11-24,UFC Fight Night - Beijing,"Song, Yadong",SON,male,home,sr:competitor:449143,0:00,0,43.65,79,181,0,100.0,2,2,47.51,86,181,"Morales, Vince",MOR,male,away,sr:competitor:462107,0:00,0,39.36,74,188,0,0.0,0,0,39.34,83,211,3,5:00,decision_unanimous,3,bantamweight(126-135),4.289999999999999,8.169999999999995,0,100.0,2,0
2018-11-24,UFC Fight Night - Beijing,"Overeem, Alistair",OVE,male,home,sr:competitor:237694,0:00,0,70.97,22,31,0,50.0,1,2,83.87,26,31,"Pavlovich, Sergei",PAV,male,away,sr:competitor:515358,0:00,0,35.14,13,37,0,0.0,0,2,48.65,18,37,1,4:21,ko_tko,3,heavyweight(206-265),35.83,35.220000000000006,0,50.0,1,0
2019-02-09,UFC 234 - Melbourne,"Martinez, Jonathan",MAR,male,away,sr:competitor:511658,0:00,0,54.02,47,87,0,50.0,1,2,57.27,63,110,"Buren, Wuliji",BUR,male,home,sr:competitor:394996,0:00,0,54.84,17,31,1,50.0,3,6,60.0,24,40,3,5:00,decision_unanimous,3,bantamweight(126-135),-0.8200000000000003,-2.729999999999997,0,0.0,-2,-1
2019-03-02,UFC 235 - Las Vegas,"Cifers, Hannah",CIF,female,away,sr:competitor:542019,0:00,1,43.23,67,155,0,0.0,0,0,50.0,91,182,"Viana, Polyana",VIA,female,home,sr:competitor:408281,0:00,0,44.25,77,174,0,0.0,0,0,52.97,125,236,3,5:00,decision_split,3,flyweight(116-125),-1.0200000000000031,-2.969999999999999,1,0.0,0,0
2019-02-17,UFC Fight Night - Phoenix,"Whitmire, Emily",WHI,female,away,sr:competitor:457883,0:00,0,60.0,3,5,1,100.0,1,1,72.73,8,11,"Albu, Alexandra",ALB,female,home,sr:competitor:361990,0:00,0,40.0,2,5,0,0.0,0,0,33.33,2,6,1,1:01,submission,3,strawweight(106-115),20.0,39.400000000000006,0,100.0,1,1
2019-02-17,UFC Fight Night - Phoenix,"Sanders, Luke",SAN,male,away,sr:competitor:318095,0:00,1,86.67,39,45,0,0.0,0,1,85.42,41,48,"Barao, Renan",BAR,male,home,sr:competitor:258375,0:00,0,58.82,40,68,0,0.0,0,0,59.42,41,69,2,1:01,ko_tko,3,bantamweight(126-135),27.85,26.0,1,0.0,0,0
2019-02-02,UFC Fight Night - Castelao,"Bontorin, Rogerio",BON,male,home,sr:competitor:528405,0:00,0,51.95,40,77,2,33.33,1,3,58.43,52,89,"Bibulatov, Magomed",BIB,male,away,sr:competitor:326973,0:00,0,59.18,58,98,0,50.0,4,8,61.68,66,107,3,5:00,decision_split,3,flyweight(116-125),-7.229999999999997,-3.25,0,-16.67,-3,2
2019-02-02,UFC Fight Night - Castelao,"Nurmagomedov, Said",NUR,male,away,sr:competitor:456575,0:00,0,70.83,17,24,0,0.0,0,0,70.83,17,24,"Ramos, Ricardo",RAM,male,home,sr:competitor:390298,0:00,0,25.0,2,8,0,0.0,0,0,25.0,2,8,1,2:28,ko_tko,3,bantamweight(126-135),45.83,45.83,0,0.0,0,0
2019-02-02,UFC Fight Night - Castelao,"de Freitas, Geraldo",DE,male,home,sr:competitor:538409,0:00,0,64.47,49,76,0,66.67,6,9,70.83,68,96,"Colares, Felipe",COL,male,away,sr:competitor:538411,0:00,0,41.18,21,51,0,37.5,3,8,46.67,28,60,3,5:00,decision_unanimous,3,featherweight(136-145),23.29,24.159999999999997,0,29.17,3,0
2019-02-02,UFC Fight Night - Castelao,"Rozenstruik, Jairzinho",ROZ,male,away,sr:competitor:542143,0:00,0,70.37,19,27,0,0.0,0,0,76.47,26,34,"Albini, Junior",ALB,male,home,sr:competitor:359236,0:00,0,66.67,18,27,0,33.33,2,6,74.29,26,35,2,0:54,ko_tko,3,heavyweight(206-265),3.700000000000003,2.1799999999999926,0,-33.33,-2,0
2019-02-02,UFC Fight Night - Castelao,"Alves, Thiago",ALV,male,home,sr:competitor:326977,0:00,0,61.48,83,135,0,0.0,0,1,63.64,91,143,"Griffin, Max",GRI,male,away,sr:competitor:278711,0:00,0,72.73,112,154,0,50.0,2,4,73.58,117,159,3,5:00,decision_split,3,welterweight(156-170),-11.250000000000007,-9.939999999999998,0,-50.0,-2,0
2019-03-09,UFC Fight Night - Wichita,"White, Alex",WHI,male,home,sr:competitor:466525,0:00,0,59.76,49,82,3,66.67,2,3,67.31,70,104,"Moret, Dan",MOR,male,away,sr:competitor:430957,0:00,0,47.73,42,88,0,11.11,1,9,52.08,50,96,3,5:00,decision_unanimous,3,lightweight(146-155),12.030000000000001,15.230000000000004,0,55.56,1,3
